nflId,name,med_coverage,average_coverage,numPlays
2555551,LeShaun Sims,4.7353808295,4.6764411315,92
2559043,Chase Allen,4.395292814,4.8857459842,4
2559053,Torry McTyer,5.8612982211,5.5150617598,145
496735,Kareem Jackson,6.3620007371,7.5273144393,430
2495872,Johnathan Joseph,6.2720976605,6.1664363498,357
2533049,Whitney Mercilus,4.9061407574,4.8187674538,347
2540180,Tyrann Mathieu,7.7332436726,8.3976346002,466
2543501,Aaron Colvin,4.7144095799,4.8955064483,171
2552261,Kevin Johnson,6.4867166615,6.4419661311,30
2558094,Zach Cunningham,5.7641227638,6.0301343036,339
2560851,Justin Reid,12.8881558977,12.6366360027,398
71251,Patrick Chung,4.6396398176,5.5308332651,402
494287,Devin McCourty,10.3380967744,10.7765415132,454
2533057,Dont'a Hightower,5.3284228822,5.4891358147,335
2533062,Stephon Gilmore,3.419241857,4.5322924576,454
2541243,Duron Harmon,14.8419741569,14.4474091744,298
2543699,Kyle Van Noy,5.237981495,5.3773336431,423
2552255,Eric Rowe,3.7322813135,5.0375275894,66
2561143,Ja'Whaun Bentley,4.981840845,5.3913248559,54
2552490,Benardrick McKinney,5.8874159763,6.1202277088,383
2556571,Jonathan Jones,4.097119544,4.9011637643,261
2556119,Elandon Roberts,5.9986156728,6.231099131,170
2559152,Dylan Cole,6.2423307722,6.4264937346,60
89756,Jason McCourty,4.169121316,4.9920710612,393
497240,Rob Gronkowski,41.5002599006,41.5002599006,2
2495272,Chris Conte,10.7412147675,10.4965396796,68
2532828,Lavonte David,5.4307384366,5.6512987023,411
2552592,Kwon Alexander,6.3181524286,6.1736321546,188
2555299,Vernon Hargreaves,2.4418560589,3.0717068219,35
2555552,Ryan Smith,5.8934549004,5.9262732887,208
2557945,Justin Evans,14.3082588099,13.5969485867,275
2561039,Carlton Davis,3.1320477852,3.9499919915,306
2550565,Adarius Taylor,5.7210527939,5.7337361791,228
2508084,Patrick Robinson,4.0830141766,4.1534860516,50
2533008,Demario Davis,6.0606683432,6.3114631946,395
2555530,Vonn Bell,7.5305569793,8.2985612203,362
2556735,Ken Crawley,5.2742084504,5.082300223,183
2558061,Marshon Lattimore,4.1042012743,4.4230881323,416
2558163,Alex Anzalone,6.1941866218,6.3052737657,237
2558847,Marcus Williams,16.2932356465,15.4538212732,435
494261,Kurt Coleman,7.4007876562,8.2993656388,134
2560884,M.J. Stewart,3.4606027238,4.0532889481,161
2539277,Manti Te'o,6.7267012675,6.7286859476,42
2539982,A.J. Klein,6.1472890428,6.3048361738,278
71197,Connor Barwin,5.1123190539,4.9558831253,121
2532875,Janoris Jenkins,5.1117822084,5.1213101742,442
2539338,B.W. Webb,4.1748112498,4.3322836997,421
2540143,Alec Ogletree,5.877000334,5.9758945611,346
2541792,Ray-Ray Armstrong,6.092486748,6.0875252305,92
2543738,Kareem Martin,5.0750824938,4.8499672473,233
2552454,Landon Collins,6.4119218426,7.1972211833,334
2553822,Curtis Riley,14.2572803089,13.7326765896,424
2555277,Eli Apple,3.8443601227,4.5024570305,402
2561015,Lorenzo Carter,5.0492503997,4.6575712953,211
2555522,B.J. Goodson,5.531152603,5.6606079574,173
494259,Barry Church,11.8360406099,11.229496752,253
2532848,Tashaun Gipson,10.3319743897,9.7735454593,395
2541162,A.J. Bouye,5.1622433287,5.1181491304,318
2543711,Telvin Smith,6.6248434048,6.854052446,397
2555280,Jalen Ramsey,5.2590563388,5.3631476847,395
2555329,Myles Jack,6.4892874573,6.6226888948,398
2560758,Leon Jacobs,4.667604316,4.6498098978,38
2535687,Michael Thomas,6.8134563353,7.5085624259,224
2561008,Ronnie Harrison,7.0417065669,9.1729969555,127
2539237,D.J. Hayden,4.0508028344,4.3470900738,206
2539662,Lerentee McCray,4.7410228696,4.6614963688,33
2556711,Jarrod Wilson,11.4573670012,11.0958761331,83
2495504,Patrick Peterson,5.8247621034,5.5078538079,408
2495807,Antoine Bethea,9.3784702582,9.5850779292,407
2530491,Josh Bynes,5.9448264903,6.1394522915,259
2539932,Jamar Taylor,6.2354533047,5.8760687381,114
2543769,Deone Bucannon,5.4734491851,5.479623276,119
2543830,Tre Boston,12.7998144094,12.4404460472,366
2558009,Budda Baker,3.7870133494,4.1613772442,352
2557887,Haason Reddick,5.0235034566,5.2423698365,319
2495201,Pernell McPhee,5.0889608025,4.9243243275,89
2495281,Mason Foster,5.9151568502,6.0438380412,418
2532804,Zach Brown,6.0984466472,6.4301071387,286
2532920,Josh Norman,4.3803525726,4.5591896271,428
2539943,D.J. Swearinger,9.3308141213,10.3932170233,403
2553796,Quinton Dunbar,3.7187608466,4.3782979776,165
2557853,Ryan Anderson,5.3351218342,4.7614503035,75
2558133,Montae Nicholson,12.156065786,12.4974727628,230
2558136,Fabian Moreau,4.8057188676,4.8931985381,377
2495190,Ryan Kerrigan,4.9322546531,4.7609286556,339
2552276,Preston Smith,4.9596982484,4.7066593301,338
2557880,Josh Harvey-Clemons,5.3888491865,6.0888381364,109
2558174,Rudy Ford,13.7487666433,14.4556958378,23
2543855,Bene' Benwikere,4.2914498851,4.895037868,217
2553687,Zach Vigil,6.1892072124,6.010824613,13
2560886,Greg Stroman,5.139829574,5.5957841627,186
496937,Sean Lee,6.2733687526,6.2977342754,89
2541832,Jeff Heath,11.2909744644,10.5188989825,447
2552568,Byron Jones,2.4192796231,3.4459686086,458
2555310,Jaylon Smith,6.2541334322,6.7135333483,436
2555531,Anthony Brown,4.149682123,4.3750066644,333
2555536,Kavon Frazier,12.363941126,11.347386775,79
2557840,Chidobe Awuzie,3.4896097108,4.5296509384,401
2552686,Damien Wilson,4.9144162755,5.0658173373,99
80668,Captain Munnerlyn,4.4192038465,4.4537435483,317
2495339,Da'Norris Searcy,14.1261915182,14.1973613817,27
2505708,Mike Adams,11.4716198587,11.1605808167,424
2533056,Luke Kuechly,6.0112852214,6.2825447907,418
2552447,Shaq Thompson,5.4831228968,5.5096748396,262
2555175,James Bradberry,6.5206314603,5.9721881237,441
2560753,Donte Jackson,5.8863205344,5.8481688186,398
2553441,David Mayo,5.1105839132,5.3605604852,49
2560908,Leighton Vander Esch,6.4301077329,6.5142830907,361
2550262,Joe Thomas,6.1131008244,5.9284358948,28
2553815,Justin March-Lillard,5.5321748711,5.5321748711,2
2499257,Colin Jones,13.8434907034,12.2868674433,50
80431,Clay Matthews,5.0789463339,4.7498337005,300
2506789,Tramon Williams,8.1689883039,9.5745630632,421
2533048,Nick Perry,5.2829269049,4.8798774787,122
2543470,Ha Ha Clinton-Dix,14.0260171254,13.5186117041,380
2555161,Blake Martinez,6.5244139835,6.5047058931,414
2556480,Kentrell Brice,10.4595923771,11.1621644851,256
2557996,Kevin King,4.7180118467,4.7524388011,123
2560755,Josh Jackson,3.8550546378,4.3361145762,304
2560952,Jaire Alexander,4.3540447659,4.6021356417,308
2555160,Antonio Morrison,6.3699806155,6.4497333744,83
2556537,Reggie Gilbert,4.9467888152,4.8673059505,195
2495108,Prince Amukamara,2.4101016622,4.4879794371,412
2532961,Danny Trevathan,6.0796560207,6.1937178408,446
2543681,Kyle Fuller,5.7421669369,5.6418354003,454
2552385,Adrian Amos,12.5764628977,12.7431762774,461
2553500,Bryce Callahan,4.2870247346,4.3914635068,322
2555285,Leonard Floyd,5.0706350911,4.820583843,364
2555288,Nick Kwiatkoski,5.6604155007,5.8460052078,48
2558176,Eddie Jackson,13.5774638717,13.21405534,401
2552697,Jermaine Whitehead,5.3846703205,5.8524900111,98
2541202,Marcus Cooper,3.8172872109,4.5657111424,20
2555340,Kyler Fackrell,5.1509539676,4.7785281134,245
2552489,Eddie Goldman,3.8257495593,3.8257495593,1
2495101,Sam Acho,6.1437748186,6.100245008,8
2560877,Roquan Smith,5.5435314652,5.8277071062,396
71441,Glover Quin,11.0287135502,10.8777846745,327
2534830,Tavon Wilson,5.2361046917,5.7440596063,131
2540288,Darius Slay,4.4022931068,4.8655934336,357
2543869,Devon Kennard,5.0562444787,4.7549144191,344
2543872,Nevin Lawson,3.4229993658,3.951665034,346
2552262,Quandre Diggs,10.4725186953,10.2105136462,387
2557855,Jarrad Davis,6.1449612242,6.4064453116,392
2557924,Jalen Reeves-Maybin,5.4242089396,4.9156025089,47
2558821,Jamal Agnew,3.102757291,3.6450427704,49
2550572,Christian Jones,5.8042601406,5.7620876996,237
2532877,Trumaine Johnson,5.7892032009,5.445132249,269
2533059,Morris Claiborne,4.604176891,4.5233678393,412
2543597,Avery Williamson,6.2840287885,6.3184012543,453
2555256,Jordan Jenkins,4.9790112175,4.6454205198,254
2555322,Darron Lee,5.2794920764,5.4011229892,319
2556617,Doug Middleton,14.7229111883,14.6415471204,99
2557979,Jamal Adams,8.2743330152,8.5405316543,457
2495343,Buster Skrine,4.0429882401,4.1796859778,280
2557955,Teez Tabor,3.6562716335,4.2515179448,120
2553353,Darryl Roberts,8.0627338981,9.5691773924,310
2561366,Frankie Luvu,4.8908470868,4.8570198206,205
2540219,J.J. Wilcox,5.8655567198,6.6796424042,34
2552486,Leonard Williams,5.1965261776,5.1965261776,2
2552494,Eli Harold,5.4159464684,4.925414287,81
2560822,Parry Nickerson,4.0769079069,4.2404979659,113
2553657,Neville Hewitt,5.3843897832,5.6544255346,113
2549896,Marquis Flowers,5.8673854846,5.8673854846,2
1302,Aqib Talib,7.456861808,7.1024961415,153
2543487,Dominique Easley,4.7732553091,4.6604022202,21
2543492,Lamarcus Joyner,14.6294845331,13.7878471403,371
2552320,Ramik Wilson,5.5611187119,5.3805365711,59
2552488,Marcus Peters,6.684020487,6.6901207007,375
2556593,Cory Littleton,5.2659133152,5.4872283121,391
2558183,John Johnson,10.0392240248,10.4601353805,396
2558830,Samson Ebukam,4.8403828698,4.8445824423,276
2540197,Nickell Robey-Coleman,4.825285524,4.8693712652,266
2556277,Marqui Christian,5.1492223628,6.1021905776,188
2495153,Marcus Gilchrist,9.8487852026,9.9631921949,346
2495617,Leon Hall,3.664916551,4.089102981,162
2506353,Derrick Johnson,5.9037388017,6.3485032503,73
2507167,Reggie Nelson,10.5449448635,10.4988614363,162
2532986,Tahir Whitehead,5.9232487326,6.1715476708,388
2541200,Rashaan Melvin,3.726435573,4.2964033238,254
2558062,Gareon Conley,2.902680398,3.5433555974,272
2553722,Matt Longacre,5.3762023951,5.0875974463,93
306,Dominique Rodgers-Cromartie,5.8036826068,5.5374149474,49
2557972,Marquel Lee,5.591395059,5.5750988062,126
2555294,Shilique Calhoun,4.820111291,4.3978759732,47
2555342,Karl Joseph,10.9608093356,10.3063839336,180
2556817,Tony McRae,4.3103179775,4.6952418647,51
2560745,Sam Hubbard,6.2874605539,9.6365573,4
2552392,Jordan Richards,6.3476798434,7.6332172531,200
2561009,Marquis Haynes,4.7405071586,4.4660578227,23
2560775,Rashaan Gaulden,13.7409647369,12.5076291963,55
2539219,Blidi Wreh-Wilson,5.4829424213,5.4886244059,19
2558171,Corn Elder,6.0606860743,6.0183677037,27
2534741,Keith Tandy,15.1754228846,15.1754228846,1
79901,Vontae Davis,6.2438144004,6.2389979169,14
2532861,Casey Hayward,4.6092425851,4.6541661355,410
2541958,Jahleel Addae,14.4138162525,13.6927859934,412
2552296,Kyle Emanuel,5.6023942422,5.5752033691,72
2552310,Denzel Perryman,6.33233412,6.545403928,125
2556828,Trevor Williams,4.3167154478,4.6812129526,156
2560760,Derwin James,6.513174305,7.8054134515,416
2560928,Kyzir White,6.4204112767,6.4258655545,29
2507644,Ramon Humber,6.5248186664,6.4684212405,27
2557927,Desmond King,4.1053915236,4.5837397733,339
2560826,Uchenna Nwosu,4.6168761428,4.5526068027,130
2550842,Adrian Phillips,7.4447222611,8.0764494466,312
2556148,Jatavis Brown,6.4529852407,6.7380834661,284
2558182,Rayshawn Jenkins,7.3952490377,7.9086012047,52
2556652,Lafayette Pitts,6.5259753245,6.2619467204,37
2560818,Siran Neal,13.8672260262,14.1006301488,4
2525323,Andrew Sendejo,12.7907390419,12.4837069119,112
2532948,Harrison Smith,11.3566563162,10.7281734726,340
2540155,Xavier Rhodes,3.7777255379,4.2098999621,265
2543459,Anthony Barr,5.4621135479,5.7966792302,255
2552312,Eric Kendricks,5.8160682311,6.096167261,305
2552448,Trae Waynes,5.4175900965,5.2596570082,243
2555177,Mackensie Alexander,4.0820879932,4.5563433235,226
2555156,Jayron Kearse,4.7357854638,5.6720551549,63
2534567,Korey Toomer,7.7208331288,6.5708136261,7
2495170,Davon House,2.0235578766,2.8925251339,13
2558033,Ben Gedeon,5.5631910047,6.153613764,72
2560746,Mike Hughes,4.7970027111,5.1340519371,79
2550164,T.J. Carrie,4.6377419698,4.8022966966,408
2556489,James Burgess,5.222009397,5.0122352073,24
2552484,P.J. Williams,4.0006794595,4.2794093631,349
2495493,Justin Houston,5.0911539153,4.8974298433,277
2530794,Ron Parker,11.8763780974,11.5361425601,424
2543592,Anthony Hitchens,6.098570463,6.3189729369,353
2552265,Steven Nelson,2.8251434388,4.2435118997,471
2555169,Reggie Ragland,5.8524297603,6.198526289,169
2555173,Eric Murray,13.9428545657,12.810898148,286
2556775,Terrance Smith,5.7665050939,6.5956397207,84
2560881,Breeland Speaks,4.8932205972,4.7058593555,195
2307,Orlando Scandrick,3.9549524434,4.7492666484,362
2555349,Kendall Fuller,4.4584145542,4.6337814563,449
2560921,Armani Watts,4.2085659836,6.8094213661,27
2532946,Coty Sensabaugh,5.2020138446,4.9462950444,350
2561103,Tremon Smith,4.2167568155,4.3975221128,26
2558185,Tanoh Kpassagnon,3.9625535063,3.9625535063,1
2560827,Dorian O'Daniel,6.7406223339,6.6290045735,172
2532800,Nigel Bradham,6.1546192591,6.5306707276,445
2560930,Jordan Whitehead,11.2371485594,11.4839027435,308
2550605,Marcus Williams,6.7487718527,7.0955684644,17
2543468,Mike Evans,50.2410468772,50.2410468772,2
1037347,Joe Webb,2.7632385466,2.7632385466,1
2495251,Shareece Wright,4.512604121,4.6023414831,255
2535693,Johnson Bademosi,3.5942606016,3.9483807484,14
2543600,Alfred Blue,2.7156670277,2.7156670277,1
2552730,Brian Peters,7.1837062937,7.2141958889,24
2555234,Tyler Ervin,48.6914112567,48.6914112567,1
2560759,Natrell Jamerson,5.3797349957,5.2505173177,35
2560774,Peter Kalambayi,3.9076299256,4.7579151909,11
2561344,Buddy Howell,1.844286848,1.844286848,1
2561538,A.J. Moore,4.7278908905,4.7278908905,1
2560784,Harold Landry,4.7138737435,4.6297441443,269
2556673,Brennan Scarlett,6.0220489912,6.3989656877,37
2560714,Duke Ejiofor,4.9444654119,4.928020422,88
2561033,Dane Cruikshank,18.3627409102,18.6678490603,14
2543811,Pierre Desir,4.4443367144,4.7557437751,405
2539293,Gerald Hodges,6.0027927244,6.3058214225,131
1037374,Sam Shields,4.6050813333,4.4634707061,172
2552307,Bryce Hager,5.9357465228,6.0592124115,28
2553536,Troy Hill,6.2711307699,6.2369691109,170
2556374,Blake Countess,13.4456863142,12.7823114173,25
2553545,Isaiah Johnson,6.273358051,5.6157488645,5
2495507,Richard Sherman,4.3480514969,5.0022670232,324
2552391,Jaquiski Tartt,6.4976622509,8.0246909375,154
2552684,Mark Nzeocha,5.9542641988,5.9489193925,38
2558121,Elijah Lee,6.3454934189,6.5079703992,193
2558157,Ahkello Witherspoon,4.0861862962,4.6609498001,271
2558857,Adrian Colbert,15.6933724328,15.0125772092,117
2560917,Fred Warner,6.175849419,6.4078750253,399
2550654,K'Waun Williams,5.0030202465,4.9852966808,259
2556641,Romeo Okwara,5.0849562649,4.9553007361,284
2543741,Jimmie Ward,6.511629806,8.630568896,165
2560913,Trey Walker,14.8178520102,13.9418767089,129
2543680,Antone Exum,13.4797540363,12.3874350783,237
494307,Darian Stewart,14.4181285458,13.4265970618,336
2495202,Von Miller,4.9102035435,4.6855181829,337
2506345,Adam Jones,6.3728580556,5.7221243106,46
2530510,Chris Harris,3.9964934154,4.327524542,299
2532898,Brandon Marshall,5.6787327588,5.9859123459,176
2543505,Bradley Roby,5.5941799587,5.4746283996,377
2550930,Todd Davis,5.7726906028,6.0004275353,321
2555550,Justin Simmons,7.8210798144,9.7535650958,417
2550541,Shaquil Barrett,4.7566748646,4.5431951682,110
2532871,Bruce Irvin,7.3305097772,8.2429338262,7
2556278,Will Parks,6.6240166096,8.7065974433,224
2555568,Erik Harris,11.0138857418,10.5913722353,169
2536032,Emmanuel Lamur,4.9170133719,5.6851026696,31
2560763,Josey Jewell,6.240656166,6.170009423,153
2507917,Tramaine Brock,5.5127738519,5.526403765,186
2552271,Geneo Grissom,6.0253844569,5.2218858959,11
2550659,Tyler Patmon,4.1684624187,4.4545360628,95
2555421,Yannick Ngakoue,6.1525908691,6.4335198803,3
2556512,Donte' Deayon,3.7664230315,4.3050614784,50
2552605,Ibraheim Campbell,15.1495991828,13.4905821104,46
2508080,Earl Thomas,10.9567326395,10.8804247245,77
2532890,Mychal Kendricks,5.3827600372,5.5731036223,78
2539243,Bradley McDougald,8.3508070474,8.6173575793,373
2540140,Barkevious Mingo,4.655826327,5.0685706087,197
2553456,Akeem King,4.4274979215,4.6921580892,65
2558259,Shaquill Griffin,3.6823244388,4.3126768528,395
2558925,Austin Calitro,6.7082377822,6.5741936813,96
2553637,Justin Coleman,4.1216538897,4.3542393446,320
2557881,Tedric Thompson,14.4069445067,14.3293010556,298
2552629,Frank Clark,4.5866929958,4.5866929958,1
494289,Sherrick McManis,4.3149795823,4.5165233311,121
2560830,Isaiah Oliver,2.8962539014,4.1502716077,129
2560946,Isaac Yiadom,4.321514281,4.7464236132,120
496814,Albert McClellan,5.8122671053,5.634096957,14
2539937,Shamarko Thomas,17.0852723267,16.2019811457,7
2561093,Jermaine Carter,4.8036652926,4.8029260689,33
2495488,J.J. Watt,4.6792757239,4.6792757239,1
2561017,Sean Chandler,5.075928469,6.7460702317,71
2543456,Jadeveon Clowney,5.0246288806,5.9127826009,12
2560718,Rashaan Evans,5.7178587899,5.7217049609,194
2561340,Tre Herndon,4.3572070734,4.3882004762,32
2556798,Kenneth Durden,8.2861807979,8.1874891169,3
2557837,Reuben Foster,5.8837957494,6.1477479872,132
2499278,Malcolm Smith,6.0432733841,6.2356108453,122
2560850,D.J. Reed,7.0419758872,8.6148403082,139
2543494,Dee Ford,4.6882785229,4.752382376,5
2561117,Tarvarius Moore,4.5453951701,5.2800970953,76
2559208,Ryan Lewis,6.0129543567,5.2239581073,81
2559012,Eric Wilson,5.4674135915,6.1617332786,109
2560984,Oren Burks,5.3202100155,5.8603408902,45
2553710,Deshazor Everett,6.589786392,8.2096310542,38
2559164,Michael Davis,4.678084728,5.0080993293,267
2560901,Kevin Toliver,6.2128137577,5.9912431618,71
2532966,Bobby Wagner,6.0586211426,6.4525969377,382
2560728,Tre Flowers,4.106427188,4.7796351167,377
2558159,Xavier Woods,14.7069450121,13.961030847,395
2555380,Cyrus Jones,7.0755744098,7.7951112102,6
2535609,DeShawn Shead,2.9017468662,3.9271517602,122
2560754,J.C. Jackson,4.0456644884,4.8315656718,178
2561157,Keion Crossen,3.5146768482,3.3214997306,26
2506861,Brent Grimes,5.9667567386,5.8977343204,329
2543643,Nat Berhe,4.4285054331,4.7707729231,23
2560741,Holton Hill,5.2255782435,4.9635020077,115
2556567,Isaiah Johnson,13.1026606021,12.5707207375,160
2555155,Deon Bush,13.3680259387,13.2257319093,76
2555381,DeAndre Houston-Carson,7.696540276,8.9295985674,27
2560750,Joel Iyiegbuniwe,4.8575897669,4.9804957088,15
2557920,Jourdan Lewis,5.2210846167,5.2655689086,96
2556588,Eric Lee,5.7682690011,5.6227598765,9
2560982,Tony Brown,5.9584735659,5.7735580551,122
2556394,Chris Milton,4.0766399134,4.1192309394,27
2557995,Marcus Maye,13.5033427905,13.2742627228,150
2541864,Josh Martin,4.8717904003,4.3151520295,9
2543563,Kevin Pierre-Louis,4.2500832867,5.0267139951,21
2559058,Maurice Smith,13.4081682856,13.1122608999,23
2543724,Walt Aikens,8.22364366,9.9332600541,16
2556542,Nicholas Grigsby,7.6261313594,6.8194517769,11
2560795,Avonte Maddox,8.4925159245,10.6679753031,272
494277,Kendrick Lewis,12.6817413879,11.9693090115,113
2558077,Delano Hill,8.421599655,9.2920981918,136
2543823,E.J. Gaines,5.3219375824,5.2572733091,87
2559054,Nicholas Morrow,5.886824549,6.0837351806,185
2558971,Greg Mabin,5.4518068399,5.2094837029,55
2533459,Nate Stupar,5.3268580662,5.7635807225,28
2541944,Russell Shepard,3.6906254752,3.6906254752,1
2557952,Wayne Gallman,2.5456630081,2.5456630081,1
2560815,Kam Moore,6.6991971129,6.6991971129,2
2561317,Jawill Davis,47.1211926163,47.1211926163,1
2561318,Tae Davis,5.9310873791,6.0894616875,148
2532431,Craig Robertson,5.6388962715,5.6139781567,32
2557862,Chris Wormley,7.4569025463,7.4569025463,1
2535613,L.J. Fort,5.4538761787,5.7243893645,153
2558988,Lenzy Pipkins,4.5536991487,4.7247763708,35
2559087,Arthur Maulet,4.4036498852,4.5721537041,49
2539280,John Simon,5.7302705829,5.7842969465,9
2561131,George Odum,10.6083430848,10.6612883647,87
2553562,Dean Marlowe,13.7768590457,13.1475312613,19
2541756,Brynden Trawick,5.2026622526,5.2026622526,1
2540152,Eric Reid,12.6654754336,12.4476219213,325
2533058,Vontaze Burfict,6.0230892454,6.0945551999,127
2552321,Stephone Anthony,7.058342127,6.8762732964,4
